fecha_completa;dia;mes;anio
1996,5 de abril,Viernes Santo,Viernes;5;4;1996
1996,1 de mayo,Día del trabajo,Miércoles;1;5;1996
1996,20 de mayo,Ascención de Jesús,Lunes;20;5;1996
1996,10 de junio,Corpus Christi,Lunes;10;6;1996
1996,17 de junio,Sagrado Corazón de Jesús,Lunes;17;6;1996
1996,1 de julio,San Pedro y San Pablo,Lunes;1;7;1996
1996,20 de julio,Día de la independencia,Sábado;20;7;1996
1996,7 de agosto,Batalla de Boyacá,Miércoles;7;8;1996
1996,19 de agosto,Asunción de la Virgen,Lunes;19;8;1996
1996,14 de octubre,Día de la raza,Lunes;14;10;1996
1996,4 de noviembre,Todos los Santos,Lunes;4;11;1996
1996,11 de noviembre,Independencia de Cartagena,Lunes;11;11;1996
1996,8 de diciembre,Inmaculada Concepción,Domingo;8;12;1996
1996,25 de diciembre,Navidad,Miércoles;25;12;1996
1997,1 de enero,Año Nuevo,Miércoles;1;1;1997
1997,6 de enero,Epifanía,Lunes;6;1;1997
1997,24 de marzo,Día de San José,Lunes;24;3;1997
1997,27 de marzo,Jueves Santo,Jueves;27;3;1997
1997,28 de marzo,Viernes Santo,Viernes;28;3;1997
1997,1 de mayo,Día del trabajo,Jueves;1;5;1997
1997,12 de mayo,Ascención de Jesús,Lunes;12;5;1997
1997,2 de junio,Corpus Christi,Lunes;2;6;1997
1997,9 de junio,Sagrado Corazón de Jesús,Lunes;9;6;1997
1997,30 de junio,San Pedro y San Pablo,Lunes;30;6;1997
1997,20 de julio,Día de la independencia,Domingo;20;7;1997
1997,7 de agosto,Batalla de Boyacá,Jueves;7;8;1997
1997,18 de agosto,Asunción de la Virgen,Lunes;18;8;1997
1997,13 de octubre,Día de la raza,Lunes;13;10;1997
1997,3 de noviembre,Todos los Santos,Lunes;3;11;1997
1997,17 de noviembre,Independencia de Cartagena,Lunes;17;11;1997
1997,8 de diciembre,Inmaculada Concepción,Lunes;8;12;1997
1997,25 de diciembre,Navidad,Jueves;25;12;1997
1998,1 de enero,Año Nuevo,Jueves;1;1;1998
1998,12 de enero,Epifanía,Lunes;12;1;1998
1998,23 de marzo,Día de San José,Lunes;23;3;1998
1998,9 de abril,Jueves Santo,Jueves;9;4;1998
1998,10 de abril,Viernes Santo,Viernes;10;4;1998
1998,1 de mayo,Día del trabajo,Viernes;1;5;1998
1998,25 de mayo,Ascención de Jesús,Lunes;25;5;1998
1998,15 de junio,Corpus Christi,Lunes;15;6;1998
1998,22 de junio,Sagrado Corazón de Jesús,Lunes;22;6;1998
1998,29 de junio,San Pedro y San Pablo,Lunes;29;6;1998
1998,20 de julio,Día de la independencia,Lunes;20;7;1998
1998,7 de agosto,Batalla de Boyacá,Viernes;7;8;1998
1998,17 de agosto,Asunción de la Virgen,Lunes;17;8;1998
1998,12 de octubre,Día de la raza,Lunes;12;10;1998
1998,2 de noviembre,Todos los Santos,Lunes;2;11;1998
1998,16 de noviembre,Independencia de Cartagena,Lunes;16;11;1998
1998,8 de diciembre,Inmaculada Concepción,Martes;8;12;1998
